tileswide 25
tileshigh 20
tilewidth 32
tileheight 32

layer 0
39,29,30,29,29,31,29,29,29,34,37,36,35,37,34,29,29,29,29,29,34,37,37,37,37,
37,33,33,33,33,33,33,33,33,37,37,36,36,37,37,34,29,29,29,29,29,34,37,37,37,
37,36,35,36,36,36,36,36,36,37,37,41,41,37,37,37,33,33,34,29,29,29,34,37,37,
37,36,36,36,36,36,36,36,36,37,42,16,16,42,37,37,36,36,37,34,29,29,29,34,37,
42,41,40,41,41,41,41,41,41,42,16,16,16,16,43,37,36,36,37,37,34,29,29,29,34,
17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,42,41,41,37,37,37,34,29,29,29,
19,19,19,19,19,19,19,19,19,19,21,16,16,16,18,16,16,16,42,37,37,37,34,29,29,
23,23,23,23,23,23,23,23,23,24,20,16,16,16,28,16,16,16,16,42,37,37,37,34,38,
1,1,1,1,1,1,1,1,1,23,19,16,16,28,28,28,16,16,16,16,42,37,37,37,36,
0,0,0,0,0,0,0,44,1,23,19,16,28,29,29,30,28,28,16,16,16,42,37,37,36,
1,1,1,1,1,1,1,0,1,23,19,28,29,29,29,29,29,29,28,28,28,28,42,37,36,
23,23,23,23,5,4,1,0,1,7,25,29,29,29,29,29,29,29,29,29,29,29,29,34,32,
19,19,19,20,12,5,1,0,1,5,25,29,29,29,29,29,29,29,29,29,29,29,29,29,31,
16,16,16,16,25,5,1,0,1,5,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
16,16,18,28,25,5,1,0,1,5,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
16,16,28,29,25,5,1,0,1,5,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
28,28,28,29,25,5,1,0,1,5,25,29,30,29,29,29,29,29,29,29,29,29,29,29,29,
29,28,28,29,25,11,10,10,10,11,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
29,31,29,29,25,5,1,0,1,5,25,29,29,29,29,29,29,31,29,29,29,29,29,29,29,
29,29,29,29,25,5,1,0,1,5,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,

layer 1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,46,46,46,46,46,46,46,46,46,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,46,46,-1,-1,-1,-1,-1,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,-1,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,
-1,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,-1,

